name,eng_position,DIVISION,attack_percentage,block_total,serve_percentage,receive_percentage,dig_percentage,set_percentage,total_point_score,national_team
黃宇晨,Setter,Mens Division,0.4588,97.0,0.0246,0.2581,0.1334,0.3349,222.0,0
劉育齊,Middle Blocker,Mens Division,0.4444,9.0,0.0,0.1111,0.2162,0.1739,93.0,0
甘明修,Opposite Hitter,Mens Division,0.2222,0.0,0.0,0.0,0.0,,6.0,0
潘柏鈜,Outside Hitter,Mens Division,0.3586,27.0,0.0931,0.2212,0.2304,0.093,211.0,0
羅偉哲,Opposite Hitter,Mens Division,,0.0,,,,,0.0,0
陳嘉榆,Setter,Mens Division,0.6,0.0,0.0,0.0,0.0385,0.1972,3.0,0
林元巍,Middle Blocker,Mens Division,0.0,0.0,0.0625,1.0,0.1429,0.0,1.0,0
黃建銘,Outside Hitter,Mens Division,0.4324,32.0,0.0432,0.4328,0.1779,0.16,301.0,0
洪熙鈞,Opposite Hitter,Mens Division,0.3869,70.0,0.0275,0.3265,0.178,0.1348,787.0,0
李東儒,Setter,Mens Division,0.0,1.0,0.0,,0.1765,0.19,1.0,0
陳哲明,Outside Hitter,Mens Division,0.3408,10.0,0.031,0.3656,0.1574,0.2857,75.0,0
鄭玉森,Libero,Mens Division,,0.0,,0.4284,0.2557,0.2429,0.0,0
黃文彥,Outside Hitter,Mens Division,0.4041,21.0,0.0457,0.3016,0.1382,0.2321,337.0,0
陳顥文,Outside Hitter,Mens Division,0.1667,2.0,0.0909,0.2917,0.2,0.0,6.0,0
陳偉綸,Outside Hitter,Mens Division,0.3649,1.0,0.0152,0.3879,0.2857,0.0,29.0,0
王前鑌,Setter,Mens Division,0.5111,30.0,0.0189,0.25,0.1441,0.3786,58.0,0
張善源,Outside Hitter,Mens Division,0.5067,78.0,0.0346,0.3529,0.1844,0.1455,640.0,0
呂姜耀強,Middle Blocker,Mens Division,0.0,0.0,0.0,,0.0,0.6667,0.0,0
李明穎,Setter,Mens Division,0.4615,1.0,0.0132,0.0,0.24,0.3225,9.0,0
謝雅仁,Outside Hitter,Mens Division,0.3678,42.0,0.0441,0.3044,0.1929,0.038,346.0,0
黃祥源,Outside Hitter,Mens Division,0.4528,17.0,0.014,0.4233,0.199,0.08,164.0,0
蘇厚禎,Libero,Mens Division,,0.0,,0.3776,0.2242,0.2353,0.0,0
鄭旭辰,Outside Hitter,Mens Division,0.3321,17.0,0.0622,0.279,0.0882,0.2941,117.0,0
伍政廷,Middle Blocker,Mens Division,0.494,96.0,0.046,0.2632,0.1091,0.0364,416.0,0
陳昱翰,Middle Blocker,Mens Division,0.3966,94.0,0.017,0.0741,0.1094,0.1765,220.0,0
黃韋程,Setter,Mens Division,0.4118,32.0,0.0223,0.2609,0.1104,0.3017,128.0,0
黃世豪,Outside Hitter,Mens Division,0.4923,56.0,0.0569,0.3165,0.1518,0.08,1069.0,0
莊明叡,Libero,Mens Division,0.1818,0.0,0.0,0.3919,0.2391,0.22,2.0,0
林政揚,Middle Blocker,Mens Division,0.4663,52.0,0.0274,0.0,0.1532,0.0,148.0,0
林志勇,Opposite Hitter,Mens Division,0.4392,17.0,0.02,0.3333,0.1754,0.0625,217.0,0
潘均儒,Outside Hitter,Mens Division,0.3407,10.0,0.0556,0.3333,0.1951,0.125,44.0,0
盧清銓,Setter,Mens Division,0.3667,143.0,0.0251,0.1563,0.1343,0.3569,322.0,0
阮柏勳,Libero,Mens Division,,0.0,,0.4021,0.2093,0.35,0.0,0
林輅惟,Middle Blocker,Mens Division,0.5329,79.0,0.0174,0.2222,0.0884,0.0789,264.0,0
黃士展,Outside Hitter,Mens Division,0.42,35.0,0.0585,0.3551,0.1439,0.0606,462.0,0
焦璿誠,Outside Hitter,Mens Division,0.4523,125.0,0.0357,0.3769,0.1667,0.1694,1390.0,0
黃仁威,Setter,Mens Division,0.5606,8.0,0.0291,0.0,0.0752,0.2808,54.0,0
楊奇翰,Outside Hitter,Mens Division,1.0,0.0,0.0,,,0.0,1.0,0
陳保宏,Outside Hitter,Mens Division,0.5432,11.0,0.0,0.3258,0.2326,0.1667,55.0,0
艾萊莎,Outside Hitter,Womens Division,0.3564,10.0,0.0361,0.2857,0.25,0.0,85.0,0
蕭湘凌,Outside Hitter,Womens Division,0.3152,39.0,0.0398,0.2642,0.1997,0.096,926.0,0
譚緹,Outside Hitter,Womens Division,0.3769,43.0,0.0473,0.2479,0.2504,0.1429,505.0,0
蔡沁瑤,Middle Blocker,Womens Division,0.3565,83.0,0.0438,0.125,0.1254,0.0597,613.0,0
魏璽格,Middle Blocker,Womens Division,0.3538,5.0,0.0105,0.3333,0.234,0.125,29.0,0
余金鳳,Opposite Hitter,Womens Division,0.312,33.0,0.0508,0.3012,0.228,0.1143,173.0,0
丁柔安,Libero,Womens Division,,0.0,,0.3896,0.2869,0.3015,0.0,0
柯粢薰,Outside Hitter,Womens Division,0.2204,3.0,0.0315,0.29,0.185,0.1529,130.0,0
吳秀玲,Middle Blocker,Womens Division,0.281,25.0,0.0455,0.1667,0.1487,0.0571,127.0,0
畢雯媛,Outside Hitter,Womens Division,0.2515,2.0,0.0465,0.2975,0.1387,0.0,49.0,0
吳靜婷,Setter,Womens Division,0.2897,18.0,0.0061,0.0,0.1307,0.2016,51.0,0
童琦芳,Outside Hitter,Womens Division,0.2385,14.0,0.0424,0.2923,0.2283,0.1392,363.0,0
蔡依琳,Middle Blocker,Womens Division,0.264,19.0,0.0313,0.25,0.0532,0.0571,56.0,0
黃情維,Setter,Womens Division,0.4412,13.0,0.0522,0.0,0.1888,0.2476,100.0,0
鄭羽倢,Libero,Womens Division,,0.0,,0.276,0.2222,0.2188,0.0,0
