name,eng_position,DIVISION,attack_percentage,block_total,serve_percentage,receive_percentage,dig_percentage,set_percentage,total_point_score,national_team
劉鴻杰,Middle Blocker,Mens Division,0.5769,104.0,0.0879,0.3478,0.1603,0.08,523.0,1
劉鴻敏,Outside Hitter,Mens Division,0.505,101.0,0.0247,0.4616,0.1766,0.2,1091.0,1
張良皓,Middle Blocker,Mens Division,0.4298,50.0,0.0388,0.25,0.1887,0.2083,162.0,1
董力億,Libero,Mens Division,,0.0,,0.4776,0.3208,0.3091,0.0,1
許美中,Outside Hitter,Mens Division,0.4304,93.0,0.0482,0.3695,0.1869,0.1743,855.0,1
石修智,Setter,Mens Division,0.3699,54.0,0.0322,0.2308,0.1561,0.328,134.0,1
陳政錡,Middle Blocker,Mens Division,0.46,227.0,0.0213,0.2632,0.1677,0.1585,681.0,1
曾弘仁,Outside Hitter,Mens Division,0.3077,3.0,0.0526,0.3846,0.2632,0.0,20.0,1
黃鈞璟,Middle Blocker,Mens Division,0.5109,66.0,0.0565,0.3846,0.1642,0.1316,246.0,1
李佳軒,Libero,Mens Division,,0.0,0.0,0.5453,0.3089,0.2374,0.0,1
詹旻翰,Outside Hitter,Mens Division,0.4813,175.0,0.0295,0.4151,0.2021,0.1441,1206.0,1
戴儒謙,Setter,Mens Division,0.4926,56.0,0.0223,0.1429,0.1612,0.3914,155.0,1
莊邵捷,Middle Blocker,Mens Division,0.5657,149.0,0.0254,0.439,0.1396,0.2414,506.0,1
江天祐,Middle Blocker,Mens Division,0.413,17.0,0.0161,0.2,0.2973,0.1111,56.0,1
黃建逢,Outside Hitter,Mens Division,0.5435,112.0,0.0475,0.3308,0.1586,0.1091,939.0,1
顏振富,Middle Blocker,Mens Division,0.5295,114.0,0.02,0.2237,0.1385,0.1525,564.0,1
許紋誠,Outside Hitter,Mens Division,0.4765,148.0,0.0504,0.4684,0.1908,0.0746,1583.0,1
林宜暉,Middle Blocker,Mens Division,0.5555,399.0,0.0441,0.3663,0.1312,0.2453,1253.0,1
林國鈞,Setter,Mens Division,0.419,47.0,0.029,0.0,0.1354,0.343,100.0,1
高偉誠,Outside Hitter,Mens Division,0.5271,199.0,0.042,0.3682,0.1537,0.1442,2208.0,1
吳宗軒,Opposite Hitter,Mens Division,0.5085,194.0,0.0913,0.1667,0.1687,0.2045,2343.0,1
李興國,Opposite Hitter,Mens Division,0.5052,101.0,0.0391,0.3043,0.1463,0.1471,864.0,1
黃正良,Opposite Hitter,Mens Division,0.4824,149.0,0.0255,0.2889,0.1832,0.129,1566.0,1
吳政陽,Middle Blocker,Mens Division,0.569,25.0,0.0566,0.0,0.1392,0.05,142.0,1
王明浚,Opposite Hitter,Mens Division,0.5422,36.0,0.0478,0.2,0.1254,0.1566,431.0,1
陳佳蔓,Setter,Womens Division,0.2787,33.0,0.0433,0.125,0.1623,0.2372,122.0,1
劉雙菱,Outside Hitter,Womens Division,0.3143,74.0,0.0474,0.2765,0.2573,0.0948,907.0,1
劉煜淳,Setter,Womens Division,0.281,14.0,0.0501,0.2653,0.1173,0.2039,120.0,1
溫以勤,Middle Blocker,Womens Division,0.3907,32.0,0.0314,0.25,0.1684,0.1579,200.0,1
林書荷,Outside Hitter,Womens Division,0.3369,127.0,0.0549,0.3853,0.2528,0.2403,1677.0,1
陳昱潔,Outside Hitter,Womens Division,0.2843,18.0,0.0544,0.2892,0.2148,0.15,142.0,1
黃蔓亞,Opposite Hitter,Womens Division,0.2997,59.0,0.0291,0.2907,0.1917,0.0625,551.0,1
曾琬羚,Middle Blocker,Womens Division,0.4561,203.0,0.0466,0.3084,0.2055,0.1859,1226.0,1
謝苡縥,Setter,Womens Division,0.3562,28.0,0.0607,0.1111,0.1791,0.3086,177.0,1
黃芯瑜,Middle Blocker,Womens Division,0.4253,353.0,0.0468,0.3496,0.1718,0.1809,1276.0,1
張秝芸,Outside Hitter,Womens Division,0.3592,46.0,0.0668,0.3779,0.248,0.1875,758.0,1
黃瀞萱,Opposite Hitter,Womens Division,0.3669,189.0,0.0605,0.4,0.2578,0.1228,1446.0,1
廖苡任,Setter,Womens Division,0.3142,31.0,0.0351,0.12,0.1614,0.2416,231.0,1
張瓈文,Opposite Hitter,Womens Division,0.351,79.0,0.0438,0.2105,0.2195,0.1563,1007.0,1
羅儀璟,Libero,Womens Division,0.3316,31.0,0.0646,0.3689,0.2953,0.2069,788.0,1
陳姿雅,Outside Hitter,Womens Division,0.3506,136.0,0.0548,0.3981,0.2534,0.1397,1887.0,1
