name,eng_position,DIVISION,attack_percentage,block_total,serve_percentage,receive_percentage,dig_percentage,set_percentage,total_point_score,national_team
劉鴻杰,Middle Blocker,Mens Division,0.5769,104.0,0.0879,0.3478,0.1603,0.08,523.0,1
黃宇晨,Setter,Mens Division,0.4588,97.0,0.0246,0.2581,0.1334,0.3349,222.0,0
劉鴻敏,Outside Hitter,Mens Division,0.505,101.0,0.0247,0.4616,0.1766,0.2,1091.0,1
張良皓,Middle Blocker,Mens Division,0.4298,50.0,0.0388,0.25,0.1887,0.2083,162.0,1
董力億,Libero,Mens Division,,0.0,,0.4776,0.3208,0.3091,0.0,1
許美中,Outside Hitter,Mens Division,0.4304,93.0,0.0482,0.3695,0.1869,0.1743,855.0,1
石修智,Setter,Mens Division,0.3699,54.0,0.0322,0.2308,0.1561,0.328,134.0,1
陳政錡,Middle Blocker,Mens Division,0.46,227.0,0.0213,0.2632,0.1677,0.1585,681.0,1
曾弘仁,Outside Hitter,Mens Division,0.3077,3.0,0.0526,0.3846,0.2632,0.0,20.0,1
黃鈞璟,Middle Blocker,Mens Division,0.5109,66.0,0.0565,0.3846,0.1642,0.1316,246.0,1
李佳軒,Libero,Mens Division,,0.0,0.0,0.5453,0.3089,0.2374,0.0,1
詹旻翰,Outside Hitter,Mens Division,0.4813,175.0,0.0295,0.4151,0.2021,0.1441,1206.0,1
戴儒謙,Setter,Mens Division,0.4926,56.0,0.0223,0.1429,0.1612,0.3914,155.0,1
莊邵捷,Middle Blocker,Mens Division,0.5657,149.0,0.0254,0.439,0.1396,0.2414,506.0,1
江天祐,Middle Blocker,Mens Division,0.413,17.0,0.0161,0.2,0.2973,0.1111,56.0,1
黃建逢,Outside Hitter,Mens Division,0.5435,112.0,0.0475,0.3308,0.1586,0.1091,939.0,1
顏振富,Middle Blocker,Mens Division,0.5295,114.0,0.02,0.2237,0.1385,0.1525,564.0,1
許紋誠,Outside Hitter,Mens Division,0.4765,148.0,0.0504,0.4684,0.1908,0.0746,1583.0,1
林宜暉,Middle Blocker,Mens Division,0.5555,399.0,0.0441,0.3663,0.1312,0.2453,1253.0,1
林國鈞,Setter,Mens Division,0.419,47.0,0.029,0.0,0.1354,0.343,100.0,1
高偉誠,Outside Hitter,Mens Division,0.5271,199.0,0.042,0.3682,0.1537,0.1442,2208.0,1
吳宗軒,Opposite Hitter,Mens Division,0.5085,194.0,0.0913,0.1667,0.1687,0.2045,2343.0,1
李興國,Opposite Hitter,Mens Division,0.5052,101.0,0.0391,0.3043,0.1463,0.1471,864.0,1
黃正良,Opposite Hitter,Mens Division,0.4824,149.0,0.0255,0.2889,0.1832,0.129,1566.0,1
黃韋程,Setter,Mens Division,0.4118,32.0,0.0223,0.2609,0.1104,0.3017,128.0,0
吳政陽,Middle Blocker,Mens Division,0.569,25.0,0.0566,0.0,0.1392,0.05,142.0,1
黃士展,Outside Hitter,Mens Division,0.42,35.0,0.0585,0.3551,0.1439,0.0606,462.0,0
焦璿誠,Outside Hitter,Mens Division,0.4523,125.0,0.0357,0.3769,0.1667,0.1694,1390.0,0
王明浚,Opposite Hitter,Mens Division,0.5422,36.0,0.0478,0.2,0.1254,0.1566,431.0,1
陳佳蔓,Setter,Womens Division,0.2787,33.0,0.0433,0.125,0.1623,0.2372,122.0,1
丁柔安,Libero,Womens Division,,0.0,0.0,0.3948,0.2987,0.2137,0.0,0
劉雙菱,Outside Hitter,Womens Division,0.3143,74.0,0.0474,0.2765,0.2573,0.0948,907.0,1
劉煜淳,Setter,Womens Division,0.281,14.0,0.0501,0.2653,0.1173,0.2039,120.0,1
溫以勤,Middle Blocker,Womens Division,0.3907,32.0,0.0314,0.25,0.1684,0.1579,200.0,1
林書荷,Outside Hitter,Womens Division,0.3369,127.0,0.0549,0.3853,0.2528,0.2403,1677.0,1
陳昱潔,Outside Hitter,Womens Division,0.2843,18.0,0.0544,0.2892,0.2148,0.15,142.0,1
黃蔓亞,Opposite Hitter,Womens Division,0.2997,59.0,0.0291,0.2907,0.1917,0.0625,551.0,1
曾琬羚,Middle Blocker,Womens Division,0.4561,203.0,0.0466,0.3084,0.2055,0.1859,1226.0,1
謝苡縥,Setter,Womens Division,0.3562,28.0,0.0607,0.1111,0.1791,0.3086,177.0,1
黃芯瑜,Middle Blocker,Womens Division,0.4253,353.0,0.0468,0.3496,0.1718,0.1809,1276.0,1
張秝芸,Outside Hitter,Womens Division,0.3592,46.0,0.0668,0.3779,0.248,0.1875,758.0,1
黃瀞萱,Opposite Hitter,Womens Division,0.3669,189.0,0.0605,0.4,0.2578,0.1228,1446.0,1
廖苡任,Setter,Womens Division,0.3142,31.0,0.0351,0.12,0.1614,0.2416,231.0,1
張瓈文,Opposite Hitter,Womens Division,0.351,79.0,0.0438,0.2105,0.2195,0.1563,1007.0,1
羅儀璟,Libero,Womens Division,0.3316,31.0,0.0646,0.3689,0.2953,0.2069,788.0,1
陳姿雅,Outside Hitter,Womens Division,0.3506,136.0,0.0548,0.3981,0.2534,0.1397,1887.0,1
劉美菁,Middle Blocker,Womens Division,0.4184,289.0,0.048,0.2278,0.1508,0.078,1418.0,0
陳菀婷,Opposite Hitter,Womens Division,0.3655,108.0,0.0528,0.2167,0.1798,0.0763,1233.0,0
賴湘程,Libero,Womens Division,1.0,0.0,0.0,0.3981,0.2927,0.2102,1.0,1
邱雅慧,Middle Blocker,Womens Division,0.33,131.0,0.0448,0.3671,0.1826,0.0938,534.0,1
林昱丞,Middle Blocker,Mens Division,0.5198,120.0,0.0246,0.24,0.083,0.125,416.0,0
林雍順,Libero,Mens Division,,0.0,,0.3896,0.2173,0.1746,0.0,1
柯宗甫,Middle Blocker,Mens Division,0.5306,203.0,0.0189,0.225,0.0997,0.0857,818.0,1
張昀亮,Libero,Mens Division,,0.0,0.0,0.501,0.2561,0.1144,1.0,1
宋柏霆,Outside Hitter,Mens Division,0.4421,89.0,0.0539,0.3504,0.1482,0.0563,1065.0,1
張育陞,Opposite Hitter,Mens Division,0.5354,21.0,0.1304,0.6,0.0971,0.1333,201.0,1
柯凱傑,Setter,Mens Division,0.3186,54.0,0.0357,0.0833,0.069,0.2771,119.0,1
吳芳妤,Outside Hitter,Womens Division,0.3237,63.0,0.0447,0.3429,0.2213,0.082,1285.0,1
陳怡如,Middle Blocker,Womens Division,0.3319,159.0,0.0336,0.2245,0.1388,0.0977,579.0,0
許菀芸,Outside Hitter,Womens Division,0.3285,33.0,0.0621,0.4095,0.3323,0.0732,1083.0,1
李怡萱,Libero,Womens Division,,0.0,0.0,0.5129,0.4117,0.1325,0.0,0
李瑋軒,Libero,Mens Division,0.0,0.0,0.022,0.4596,0.2899,0.0,1.0,0
周冠宇,Opposite Hitter,Mens Division,0.4581,69.0,0.0665,0.0,0.1475,0.15,1077.0,0
陳昭銘,Outside Hitter,Mens Division,0.4772,48.0,0.0379,0.2864,0.0619,0.125,407.0,0
黃柏叡,Libero,Mens Division,,0.0,,0.46,0.2291,0.1437,0.0,0
蔡沛彰,Middle Blocker,Mens Division,0.5835,201.0,0.0552,0.2174,0.0772,0.0526,757.0,1
陳冠中,Middle Blocker,Mens Division,0.4402,91.0,0.0454,0.2581,0.1333,0.1176,269.0,0
