score_id,match_cup_id,match_team,COR_TEAM,TEAM_CITY,CHI_TEAM_CITY,DIVISION,set1,set2,set3,set4,set5,is_winner
1728,1_13,桃園石易,桃園石易,Taoyuan City,桃園市,Mens Division,24,16,22,0,0,0
1729,2_13,台電公司,台電男排,Pingtung County,屏東縣,Mens Division,19,25,25,25,0,1
1730,2_13,MIZUNO,雲林Mizuno,Yunlin County,雲林縣,Mens Division,25,20,21,15,0,0
1731,3_13,長力男排,臺中長力,Taichung City,台中市,Mens Division,21,25,8,15,0,0
1732,3_13,台電公司,台電男排,Pingtung County,屏東縣,Mens Division,25,17,25,25,0,1
1733,4_13,桃園石易,桃園石易,Taoyuan City,桃園市,Mens Division,25,19,23,21,0,0
1734,4_13,MIZUNO,雲林Mizuno,Yunlin County,雲林縣,Mens Division,17,25,25,25,0,1
1735,5_13,國訓中心,國訓中心,Kaohsiung City,高雄市,Mens Division,25,17,26,24,0,0
1736,5_13,長力男排,臺中長力,Taichung City,台中市,Mens Division,21,25,28,26,0,1
1737,6_13,台電公司,台電男排,Pingtung County,屏東縣,Mens Division,25,25,25,0,0,1
1738,6_13,桃園石易,桃園石易,Taoyuan City,桃園市,Mens Division,20,17,17,0,0,0
1739,7_13,MIZUNO,雲林Mizuno,Yunlin County,雲林縣,Mens Division,22,25,25,18,9,0
1740,7_13,國訓中心,國訓中心,Kaohsiung City,高雄市,Mens Division,25,21,21,25,15,1
1741,8_13,長力男排,臺中長力,Taichung City,台中市,Mens Division,18,21,18,0,0,0
1742,8_13,台電公司,台電男排,Pingtung County,屏東縣,Mens Division,25,25,25,0,0,1
1743,9_13,MIZUNO,雲林Mizuno,Yunlin County,雲林縣,Mens Division,25,25,25,0,0,1
1744,9_13,長力男排,臺中長力,Taichung City,台中市,Mens Division,22,23,23,0,0,0
1745,10_13,桃園石易,桃園石易,Taoyuan City,桃園市,Mens Division,25,25,20,25,0,1
1746,10_13,國訓中心,國訓中心,Kaohsiung City,高雄市,Mens Division,21,22,25,19,0,0
1747,11_13,台電公司,台電男排,Pingtung County,屏東縣,Mens Division,28,25,25,0,0,1
1748,11_13,長力男排,臺中長力,Taichung City,台中市,Mens Division,26,17,21,0,0,0
1749,12_13,國訓中心,國訓中心,Kaohsiung City,高雄市,Mens Division,28,25,25,0,0,1
1750,12_13,MIZUNO,雲林Mizuno,Yunlin County,雲林縣,Mens Division,26,20,20,0,0,0
1751,13_13,國訓中心,國訓中心,Kaohsiung City,高雄市,Mens Division,20,25,25,21,11,0
1752,13_13,台電公司,台電男排,Pingtung County,屏東縣,Mens Division,25,22,21,25,15,1
1753,14_13,桃園石易,桃園石易,Taoyuan City,桃園市,Mens Division,25,14,26,25,15,0
1754,14_13,MIZUNO,雲林Mizuno,Yunlin County,雲林縣,Mens Division,23,25,28,23,17,1
1755,15_13,長力男排,臺中長力,Taichung City,台中市,Mens Division,25,25,25,0,0,1
1756,15_13,桃園石易,桃園石易,Taoyuan City,桃園市,Mens Division,19,22,14,0,0,0
1757,16_13,台電公司,台電男排,Pingtung County,屏東縣,Mens Division,23,25,30,23,15,1
1758,16_13,國訓中心,國訓中心,Kaohsiung City,高雄市,Mens Division,25,19,28,25,10,0
1759,17_13,長力男排,臺中長力,Taichung City,台中市,Mens Division,18,25,18,19,0,0
1760,17_13,台電公司,台電男排,Pingtung County,屏東縣,Mens Division,25,18,25,25,0,1
1761,18_13,MIZUNO,雲林Mizuno,Yunlin County,雲林縣,Mens Division,21,25,25,25,0,1
1762,18_13,桃園石易,桃園石易,Taoyuan City,桃園市,Mens Division,25,18,19,20,0,0
1763,19_13,MIZUNO,雲林Mizuno,Yunlin County,雲林縣,Mens Division,25,22,21,27,0,0
1764,19_13,長力男排,臺中長力,Taichung City,台中市,Mens Division,22,25,25,29,0,1
1765,20_13,桃園石易,桃園石易,Taoyuan City,桃園市,Mens Division,18,19,19,0,0,0
1766,20_13,國訓中心,國訓中心,Kaohsiung City,高雄市,Mens Division,25,25,25,0,0,1
1767,21_13,台電公司,台電男排,Pingtung County,屏東縣,Mens Division,25,25,25,0,0,1
1768,21_13,桃園石易,桃園石易,Taoyuan City,桃園市,Mens Division,22,15,11,0,0,0
1769,22_13,長力男排,臺中長力,Taichung City,台中市,Mens Division,23,20,25,25,25,1
1770,22_13,國訓中心,國訓中心,Kaohsiung City,高雄市,Mens Division,25,25,19,22,23,0
1771,23_13,MIZUNO,雲林Mizuno,Yunlin County,雲林縣,Mens Division,33,25,20,20,15,1
1772,23_13,長力男排,臺中長力,Taichung City,台中市,Mens Division,31,20,25,25,12,1
1773,24_13,國訓中心,國訓中心,Kaohsiung City,高雄市,Mens Division,19,25,17,15,0,0
1774,24_13,台電公司,台電男排,Pingtung County,屏東縣,Mens Division,25,20,25,25,0,1
1775,25_13,桃園石易,桃園石易,Taoyuan City,桃園市,Mens Division,12,22,16,0,0,0
1776,25_13,MIZUNO,雲林Mizuno,Yunlin County,雲林縣,Mens Division,25,25,25,0,0,1
1777,26_13,長力男排,臺中長力,Taichung City,台中市,Mens Division,20,20,20,0,0,0
1778,26_13,台電公司,台電男排,Pingtung County,屏東縣,Mens Division,25,25,25,0,0,1
1779,27_13,國訓中心,國訓中心,Kaohsiung City,高雄市,Mens Division,25,26,23,25,0,1
