match_cup_id,tournament_id,MATCH_ID,match_date,YEAR,MONTH,DAY,match_time,arena,CITY,CHI_CITY,duration,match_type,ENG_MATCH_TYPE,group,ENG_GROUP
1_13,13,1,2017-10-28,2017,10,28,0 days 15:00:00,臺灣體育大學體育館,Taichung City,台中市,0 days 01:14:00,常規賽,Regular,男子組,Mens Division
1_14,14,1,2018-10-27,2018,10,27,0 days 16:00:00,屏東縣立體育館,Pingtung County,屏東縣,0 days 01:50:00,常規賽,Regular,男子組,Mens Division
1_15,15,1,2019-10-26,2019,10,26,0 days 12:00:00,新竹縣體育館,Hsinchu County County,新竹縣,0 days 01:11:00,常規賽,Regular,男子組,Mens Division
1_16,16,1,2020-10-31,2020,10,31,0 days 12:00:00,臺北市立大學體育館,Taipei City,台北市,0 days 02:20:00,常規賽,Regular,男子組,Mens Division
1_17,17,1,2021-10-30,2021,10,30,0 days 15:00:00,成功大學體育館,Tainan City,台南市,0 days 01:16:00,常規賽,Regular,男子組,Mens Division
1_18,18,1,2022-10-15,2022,10,15,0 days 16:30:00,臺灣體育大學體育館,Taichung City,台中市,0 days 01:20:00,常規賽,Regular,男子組,Mens Division
1_19,19,1,2023-10-14,2023,10,14,0 days 13:00:00,成功大學體育館,Tainan City,台南市,0 days 01:30:00,常規賽,Regular,男子組,Mens Division
1_20,20,1,2024-10-19,2024,10,19,0 days 13:00:00,成功大學體育館,Tainan City,台南市,0 days 01:58:00,常規賽,Regular,女子組,Womens Division
10_13,13,10,2017-11-11,2017,11,11,0 days 18:00:00,屏東縣立體育館,Pingtung County,屏東縣,0 days 01:46:00,常規賽,Regular,男子組,Mens Division
10_14,14,10,2018-11-10,2018,11,10,0 days 16:00:00,彰化師範大學體育館,Changhua County,彰化縣,0 days 01:52:00,常規賽,Regular,男子組,Mens Division
10_15,15,10,2019-11-16,2019,11,16,0 days 19:00:00,彰化師範大學體育館,Changhua County,彰化縣,0 days 01:36:00,常規賽,Regular,男子組,Mens Division
10_16,16,10,2020-11-14,2020,11,14,0 days 19:00:00,成功大學體育館,Tainan City,台南市,0 days 01:43:00,常規賽,Regular,男子組,Mens Division
10_17,17,10,2021-11-14,2021,11,14,0 days 13:00:00,輔仁大學中美堂,New Taipei City,新北市,0 days 01:41:00,常規賽,Regular,男子組,Mens Division
10_18,18,10,2022-10-30,2022,10,30,0 days 13:00:00,彰化師範大學體育館,Changhua County,彰化縣,0 days 01:26:00,常規賽,Regular,男子組,Mens Division
10_19,19,10,2023-11-19,2023,11,19,0 days 17:00:00,鳳山體育館,Kaohsiung City,高雄市,0 days 02:28:00,常規賽,Regular,男子組,Mens Division
10_20,20,10,2024-10-27,2024,10,27,0 days 13:00:00,臺灣體育大學體育館,Taichung City,台中市,0 days 02:19:00,常規賽,Regular,男子組,Mens Division
100_13,13,100,2018-02-25,2018,2,25,0 days 19:00:00,新莊體育館,New Taipei City,新北市,0 days 01:18:00,常規賽,Regular,女子組,Womens Division
100_16,16,100,2021-01-10,2021,1,10,0 days 17:00:00,臺灣大學綜合體育館,Taipei City,台北市,0 days 02:24:00,常規賽,Regular,女子組,Womens Division
100_17,17,100,2022-03-06,2022,3,6,0 days 13:00:00,鳳山體育館,Kaohsiung City,高雄市,0 days 01:30:00,常規賽,Regular,女子組,Womens Division
100_18,18,100,2023-01-15,2023,1,15,0 days 17:00:00,新莊體育館,New Taipei City,新北市,0 days 01:14:00,常規賽,Regular,女子組,Womens Division
100_19,19,100,2024-02-17,2024,2,17,0 days 18:00:00,桃園體育館,Taoyuan City,桃園市,0 days 01:24:00,常規賽,Regular,女子組,Womens Division
100_20,20,100,2025-02-23,2025,2,23,0 days 13:00:00,屏東縣立體育館,Pingtung County,屏東縣,0 days 01:20:00,常規賽,Regular,男子組,Mens Division
101_13,13,101,2025-03-03,2025,3,3,0 days 13:00:00,新莊體育館,New Taipei City,新北市,0 days 01:52:00,挑戰賽,Qualifier,男子組,Mens Division
101_15,15,101,2020-01-18,2020,1,18,0 days 13:00:00,,UNKNOWN,UNKNOWN,0 days 02:12:00,常規賽,Regular,女子組,Womens Division
101_16,16,101,2021-01-16,2021,1,16,0 days 17:00:00,臺灣體育大學體育館,Taichung City,台中市,0 days 01:12:00,常規賽,Regular,女子組,Womens Division
101_18,18,101,2023-02-04,2023,2,4,0 days 14:00:00,成功大學體育館,Tainan City,台南市,0 days 01:25:00,常規賽,Regular,女子組,Womens Division
101_19,19,101,2024-02-18,2024,2,18,0 days 15:00:00,桃園體育館,Taoyuan City,桃園市,0 days 01:27:00,常規賽,Regular,女子組,Womens Division
101_20,20,101,2025-02-23,2025,2,23,0 days 15:00:00,屏東縣立體育館,Pingtung County,屏東縣,0 days 02:32:00,常規賽,Regular,男子組,Mens Division
102_13,13,102,2025-03-03,2025,3,3,0 days 15:00:00,新莊體育館,New Taipei City,新北市,0 days 01:24:00,挑戰賽,Qualifier,女子組,Womens Division
102_15,15,102,2020-01-18,2020,1,18,0 days 15:00:00,,UNKNOWN,UNKNOWN,0 days 01:17:00,常規賽,Regular,男子組,Mens Division
102_16,16,102,2021-01-16,2021,1,16,0 days 19:00:00,臺灣體育大學體育館,Taichung City,台中市,0 days 02:07:00,常規賽,Regular,女子組,Womens Division
102_18,18,102,2023-02-05,2023,2,5,0 days 13:00:00,成功大學體育館,Tainan City,台南市,0 days 02:15:00,常規賽,Regular,女子組,Womens Division
102_19,19,102,2024-02-18,2024,2,18,0 days 17:00:00,桃園體育館,Taoyuan City,桃園市,0 days 02:04:00,常規賽,Regular,女子組,Womens Division
102_20,20,102,2025-02-23,2025,2,23,0 days 17:00:00,屏東縣立體育館,Pingtung County,屏東縣,0 days 02:09:00,常規賽,Regular,女子組,Womens Division
