stat_id,match_cup_id,team,COR_TEAM,TEAM_CITY,CHI_TEAM_CITY,DIVISION,number,name,position,ENG_POSITION,attack_point,attack_total,block_point,serve_point,serve_total,receive_nice,receive_total,dig_nice,dig_total,set_nice,set_total,total_points
21885,1_13,國訓中心,國訓中心,Kaohsiung City,高雄市,Mens Division,2,劉鴻杰,攔中,Middle Blocker,7,16,3,4,14,1,1,0,0,0,1,14
21886,1_13,國訓中心,國訓中心,Kaohsiung City,高雄市,Mens Division,3,黃宇晨,舉球,Setter,0,1,0,0,10,0,0,1,4,29,68,0
21887,1_13,國訓中心,國訓中心,Kaohsiung City,高雄市,Mens Division,6,劉育齊,攔中,Middle Blocker,0,0,0,0,0,0,0,0,0,0,0,0
21888,1_13,國訓中心,國訓中心,Kaohsiung City,高雄市,Mens Division,7,劉鴻敏,長攻,Outside Hitter,11,18,2,0,11,7,9,5,14,3,3,13
21889,1_13,國訓中心,國訓中心,Kaohsiung City,高雄市,Mens Division,8,張良皓,攔中,Middle Blocker,3,6,2,2,20,0,0,2,5,1,1,7
21890,1_13,國訓中心,國訓中心,Kaohsiung City,高雄市,Mens Division,9,董力億,自由,Libero,0,0,0,0,0,16,18,9,13,1,1,0
21891,1_13,國訓中心,國訓中心,Kaohsiung City,高雄市,Mens Division,10,甘明修,對角,Opposite Hitter,0,2,0,0,0,0,0,0,0,0,0,0
21892,1_13,國訓中心,國訓中心,Kaohsiung City,高雄市,Mens Division,12,許美中,長攻,Outside Hitter,9,22,2,2,10,19,26,5,13,0,0,13
21893,1_13,國訓中心,國訓中心,Kaohsiung City,高雄市,Mens Division,13,潘柏鈜,長攻,Outside Hitter,7,21,1,0,5,0,0,5,10,1,2,8
21894,1_13,國訓中心,國訓中心,Kaohsiung City,高雄市,Mens Division,14,羅偉哲,對角,Opposite Hitter,0,0,0,0,0,0,0,0,0,0,0,0
21895,1_13,國訓中心,國訓中心,Kaohsiung City,高雄市,Mens Division,15,陳嘉榆,舉球,Setter,0,0,0,0,3,0,0,0,0,4,8,0
21896,1_13,國訓中心,國訓中心,Kaohsiung City,高雄市,Mens Division,16,林元巍,攔中,Middle Blocker,0,1,0,0,0,0,0,0,0,0,0,0
21897,1_13,桃園石易,桃園石易,Taoyuan City,桃園市,Mens Division,1,石修智,舉球,Setter,1,1,0,1,13,0,0,5,16,21,66,2
21898,1_13,桃園石易,桃園石易,Taoyuan City,桃園市,Mens Division,4,陳政錡,攔中,Middle Blocker,1,5,2,0,13,0,0,3,6,1,1,3
21899,1_13,桃園石易,桃園石易,Taoyuan City,桃園市,Mens Division,5,曾弘仁,長攻,Outside Hitter,0,0,0,0,0,0,0,0,0,0,0,0
21900,1_13,桃園石易,桃園石易,Taoyuan City,桃園市,Mens Division,7,黃建銘,長攻,Outside Hitter,5,19,2,0,9,17,26,4,15,1,4,7
21901,1_13,桃園石易,桃園石易,Taoyuan City,桃園市,Mens Division,8,洪熙鈞,對角,Opposite Hitter,15,35,1,0,10,1,1,2,9,1,3,16
