name,birthday,height,weight,position,ENG_POSITION,captain,national_team
黃宇晨,10/30/1999,188,83,舉球,Setter,0,0
李佳軒,9/6/1993,175,70,自由,Libero,1,1
莊邵捷,10/18/1994,195,82,攔中,Middle Blocker,0,1
林祐廷,10/12/2005,185,78,舉球,Setter,0,0
曾茂聰,3/20/2002,188,84,對角,Opposite Hitter,0,0
陳裕仁,5/29/2002,188,80,舉球,Setter,0,0
洪宇叡,9/21/2003,188,86,長攻,Outside Hitter,0,0
曾祥銘,2/16/2002,194,75,長攻,Outside Hitter,0,1
畢宗元,6/23/2006,193,92,攔中,Middle Blocker,0,0
鄭偉志,8/4/2005,186,70,長攻,Outside Hitter,0,0
許紋誠,6/30/1996,188,88,長攻,Outside Hitter,0,1
林宜暉,2/19/1997,195,90,攔中,Middle Blocker,0,1
顏振富,10/28/1997,198,94,攔中,Middle Blocker,0,1
詹旻翰,5/18/1997,191,90,長攻,Outside Hitter,0,1
李瑋軒,1/18/2001,170,63,自由,Libero,0,0
黃正良,2/17/1998,192,90,對角,Opposite Hitter,0,1
蘇逢澤,4/1/2003,164,70,自由,Libero,0,1
莊岳祥,10/5/2002,183,85,對角,Opposite Hitter,0,0
吳承翰,8/7/2004,177,77,對角,Opposite Hitter,0,0
李赫軒,2/23/2005,166,57,自由,Libero,0,0
張祐晨 ,5/22/2002,188,80,長攻,Outside Hitter,1,0
莊皓崴,10/24/2004,173,70,舉球,Setter,0,0
許美中,10/16/1991,190,92,長攻,Outside Hitter,0,1
何京威,8/28/2004,183,70,長攻,Outside Hitter,0,0
許睿恩,2/5/2002,193,73,攔中,Middle Blocker,0,0
李俊佑,9/30/2004,188,87,攔中,Middle Blocker,0,0
林嘉偉,9/6/2003,177,70,舉球,Setter,0,0
林裕鈞,12/20/2003,189,80,攔中,Middle Blocker,0,0
洪榮發,11/22/2000,188,90,對角,Opposite Hitter,0,1
溫逸凱,2/5/2003,187,83,長攻,Outside Hitter,0,0
陳昱碩,2/3/2002,177,80,長攻,Outside Hitter,0,0
陳朝璽,12/5/2001,180,70,舉球,Setter,0,0
郭柏毅,5/12/2003,185,72,舉球,Setter,0,0
李元,7/17/2004,186,78,長攻,Outside Hitter,0,0
王俊傑,10/28/2001,184,75,攔中,Middle Blocker,0,0
廖閎昇,5/9/2003,192,85,攔中,Middle Blocker,0,0
林聖恩,1/2/2003,175,70,長攻,Outside Hitter,0,0
鄭聖叡,9/10/2004,183,67,對角,Opposite Hitter,0,0
張皓博,6/29/2005,189,75,長攻,Outside Hitter,0,0
陳佑誠,7/11/2005,174,64,自由,Libero,0,0
洪晨祐,11/19/2003,172,58,自由,Libero,0,0
張家瑋,2002.09.21,172,60,舉球,Setter,0,0
周冠宇 ,4/21/2001,185,70,對角,Opposite Hitter,1,0
楊承恩,2004.01.05,193,92,攔中,Middle Blocker,0,0
雷諾,10/29/2002,194,89,長攻,Outside Hitter,0,1
林暘程,4/19/2004,192,81,攔中,Middle Blocker,0,0
黃韋程,3/2/1992,183,86,舉球,Setter,1,0
陳恩得,3/24/2004,190,78,對角,Opposite Hitter,0,0
陳昭銘,1/20/1996,190,82,長攻,Outside Hitter,0,0
高偉誠,10/29/1995,182,68,長攻,Outside Hitter,0,1
簡偉倫,2/6/1989,170,64,自由,Libero,0,1
高得益,11/7/1994,185,86,舉球,Setter,0,0
黃柏叡,6/30/2001,176,70,自由,Libero,0,0
林昱丞,11/7/1999,196,85,攔中,Middle Blocker,0,0
施宗諭,11/2/2002,187,78,攔中,Middle Blocker,0,0
李修瑜,2/27/2002,173,58,長攻,Outside Hitter,0,0
柯宗甫,7/9/2000,192,85,攔中,Middle Blocker,0,1
林韋翔,11/11/2003,193,80,攔中,Middle Blocker,0,0
黃士展,4/29/1999,180,85,長攻,Outside Hitter,0,0
焦璿誠,6/9/1999,183,80,長攻,Outside Hitter,0,0
施宇祥,11/22/2004,182,77,長攻,Outside Hitter,0,0
