cup,name,indicators,score
13,丁柔安,Attack,0.0
13,伍政廷,Attack,63.51443027024675
13,余金鳳,Attack,40.88199029792616
13,劉煜淳,Attack,32.589624984970804
13,劉美菁,Attack,70.7683400053044
13,劉育齊,Attack,44.93800192197313
13,劉雙菱,Attack,45.78896517624588
13,劉鴻敏,Attack,75.52852602968049
13,劉鴻杰,Attack,79.33211062104836
13,吳宗軒,Attack,64.44427927109085
13,吳政陽,Attack,81.3957200881365
13,吳秀玲,Attack,29.83501641300427
13,吳靜婷,Attack,38.16732416987856
13,吳韋華,Attack,53.86087172959769
13,廖苡任,Attack,48.211356846162396
13,張善源,Attack,65.92036919332844
13,張嘉羚,Attack,37.6507739179554
13,張妤嘉,Attack,26.11448495833796
13,張瓈婷,Attack,34.81931327778395
13,張瓈文,Attack,47.08642518641861
13,張秝芸,Attack,54.98747107416821
13,張良皓,Attack,66.6716103095578
13,戴儒謙,Attack,27.81424433432446
13,施怡婷,Attack,37.00303630046444
13,曾弘仁,Attack,20.522871961930598
13,曾琬羚,Attack,78.70830204323568
13,李佳軒,Attack,0.0
13,李姿瑩,Attack,59.781085402250724
13,李明穎,Attack,34.712176929236925
13,李東儒,Attack,0.0
13,李淯,Attack,61.89843714567231
13,李興國,Attack,60.579294490021915
13,林元巍,Attack,0.0
13,林國鈞,Attack,63.12508976066208
13,林宜暉,Attack,77.09241591988993
13,林志勇,Attack,57.406543507918926
13,林政揚,Attack,59.45806820234363
13,林書荷,Attack,5.273117155049011
13,林輅惟,Attack,72.56989203591925
13,柯粢薰,Attack,36.49890713298949
13,楊奇翰,Attack,36.158517634621795
13,楊孟樺,Attack,0.0
13,江天祐,Attack,64.47660248921112
13,沈安萱,Attack,0.0
13,洪熙鈞,Attack,52.88669729505445
13,温憶慈,Attack,59.18804969952972
13,溫以勤,Attack,47.02809919164795
13,潘均儒,Attack,32.80230213085485
13,潘柏鈜,Attack,50.497756668836615
13,焦璿誠,Attack,59.59788590071244
13,王前鑌,Attack,61.168158998568536
13,王明浚,Attack,68.58129155586784
13,王艾仕,Attack,55.361534133831206
13,王靖婷,Attack,0.0
13,甘明修,Attack,25.03281990089201
13,畢雯媛,Attack,34.05175786640775
13,盧清銓,Attack,49.62193638026028
13,石修智,Attack,54.886775486400275
13,童琦芳,Attack,32.230769908826886
13,簡佳慧,Attack,0.0
13,羅儀璟,Attack,56.58610269101141
13,艾萊莎,Attack,48.533301761570684
13,莊明叡,Attack,0.0
13,莊邵捷,Attack,87.35626614174919
13,董力億,Attack,0.0
13,蔡依琳,Attack,34.63060720932043
13,蔡沁瑤,Attack,59.237197005729875
13,蕭憶玲,Attack,50.196530363357326
13,蕭湘凌,Attack,46.867493034273544
13,蘇厚禎,Attack,0.0
13,許紋誠,Attack,53.76931992751734
13,許美中,Attack,57.29569638606476
13,詹旻翰,Attack,75.11331438332701
13,謝苡縥,Attack,62.27300259295976
